,0
0,FITB
1,AAL
2,CCI
3,WSO
4,SNA
5,TFC
6,EFX
7,PPG
8,LVS
9,SCHP.SW
10,DFS
11,BX
12,TELIA.ST
13,MMC
14,SXL.AX
15,LSEG.L
16,RTO.L
17,RTO
18,0QR4.IL
19,NSRGY
20,ROO.L
21,EDEN.PA
22,IOZ.AX
23,ARB.AX
24,TYR.AX
25,STO.AX
26,NFLX
27,SAP.DE
28,SAP
29,TSLA
30,COST
31,WDS.AX
32,UAL
33,MTB
34,AMXOF
35,ALLY
36,NTRS
37,ACI
38,STT
39,BWY.L
40,USB
41,NDAQ
42,OMC
43,TEX
44,TEL2-B.ST
45,ABBN.SW
46,ABT
47,BHP.AX
48,BHP
49,2020.HK
