,0
0,ITUB
1,KKR
2,FIS
3,EVK.DE
4,UBSG.SW
5,8113.T
6,ABF.L
7,PSN.L
8,6902.T
9,CAP.PA
10,2222.SR
11,032640.KS
12,SIQ.AX
13,RAA.DE
14,DLG.L
15,RNG
16,AZPN
17,ICUI
18,6971.T
19,KYOCY
20,6981.T
21,6762.T
22,DISH
23,KMI
24,FANG
25,WEN
26,ALB
27,LTHM
28,NU
29,PEP
30,EXPE
31,BNTX
32,ENB.TO
33,PNW
34,RVLV
35,2802.T
36,NEOENP.XD
37,WBC.AX
38,PRU.L
39,PUK
40,D05.SI
41,6503.T
42,APA.AX
43,ETSY
44,GIL.TO
45,PENN
46,QSR.TO
47,CLW.AX
48,AMN
49,FRT
