,0
0,ENV
1,AZN.L
2,AZN
3,ATO
4,GWO.TO
5,WI8.HA
6,CLPBY
7,COLO-B.CO
8,MFC.TO
9,2269.T
10,0H6I.IL
11,TIAIY
12,0220.HK
13,ABNA.XD
14,DINO
15,6326.T
16,BDX
17,MRK.DE
18,MKKGY
19,2503.T
20,HEN3.DE
21,HEN3.DE
22,0027.HK
23,NG.L
24,NGG
25,AKEP.XD
26,LYFT
27,PUBM
28,ALNY
29,0YP5.IL
30,TTWO
31,TW.L
32,NAB.AX
33,NEXIM.XD
34,VIE.PA
35,HNR1.DE
36,HVRRY
37,ZURN.SW
38,ZURVY
39,2282.HK
40,PYCR
41,RAMP
42,MGNI
43,EVGO
44,HUBS
45,DIS
46,6488.TWO
47,688126.SS
48,5483.TWO
49,3436.T
