,0
0,HBI
1,ROST
2,CPRT
3,0OGK.IL
4,HUM.AX
5,NTES
6,9999.HK
7,AMAT
8,PNC
9,SRT3.DE
10,0RG8.IL
11,WIPRO.NS
12,WIT
13,OGE
14,FHI
15,SQM
16,0A5O.IL
17,CMS
18,CTLT
19,UUL.XC
20,M
21,WTRG
22,2502.T
23,MRU.TO
24,EVRG
25,TROW
26,H
27,ALLFGA.XD
28,HLMA.L
29,SPX.L
30,AMP
31,GNC.AX
32,AGN.AS
33,AEG
34,AV.L
35,AVVIY
36,VNET
37,BRBY.L
38,0P6M.IL
39,SIEGY
40,JD
41,9618.HK
42,BEKE
43,2423.HK
44,XPEV
45,9868.HK
46,O39.SI
47,0700.HK
48,TCEHY
49,HUYA
