,0
0,6110.HK
1,TLX.DE
2,APM
3,4755.T
4,055550.KS
5,TPG.AX
6,APPN
7,ALL
8,AIG
9,CB
10,MKL
11,PGR
12,TRV
13,WRB
14,NTLA
15,CURA.CN
16,NPI.TO
17,EMA.TO
18,ITW
19,WFC
20,ACB.TO
21,ATRL.TO
22,XPRO
23,LAC.TO
24,MTD
25,BEN
26,PSX
27,GMAB.CO
28,PLUG
29,PBR
30,JUN3.DE
31,BBD
32,PG
33,K
34,HSY
35,CCOI
36,LI
37,2015.HK
38,MPC
39,4911.T
40,S63.SI
41,LNW.AX
42,LNW
43,0981.HK
44,1128.HK
45,ILMN
46,CFRAO.SW
47,WEED.TO
48,HOLX
49,ACAP.XD
