,0
0,FAST
1,3382.T
2,0MR6.IL
3,TAH.AX
4,AIR.NZ
5,GIVN.SW
6,BOQ.AX
7,BEN.AX
8,MYS.AX
9,SUN.AX
10,TCS.NS
11,DVA
12,MOH.SG
13,ADBE
14,6506.T
15,APE.AX
16,TLRY
17,BA.L
18,HII
19,2269.HK
20,CRDA.L
21,INA.AX
22,PXA.AX
23,CMW.AX
24,H78.SI
25,AGF-B.TO
26,2778.HK
27,DRI
28,DELL
29,GOZ.AX
30,BB.TO
31,FDS
32,TSCO.L
33,SMIN.L
34,SMGZY
35,BATS.L
36,BTI
37,THO
38,9432
39,CPU.AX
40,0017.HK
41,H.TO
42,CCL
43,CCL.L
44,CUK
45,KLG
46,NKE
47,TTE.PA
48,TTE
49,BKW.AX
