,0
0,KEY.TO
1,C6L.SI
2,0RI8.IL
3,ADRNY
4,JHX.AX
5,JHIUF
6,PNDORC.XD
7,0MPP.IL
8,SAMPOH.XD
9,MUV2.SG
10,MURGY
11,LXS.DE
12,VWS.CO
13,MKSL.XC
14,G1A.DE
15,MLCO
16,S51.SI
17,EMR
18,SHLS
19,AKAM
20,TIMB
21,SKT.NZ
22,MQ
23,SDZ.SW
24,SQSP
25,KT
26,TRIP
27,APD
28,BLDP.TO
29,ET
30,DHI
31,GD
32,CNHI
33,WAT
34,BCE.TO
35,MYGN
36,PRGO
37,GEN
38,IFF
39,INGR
40,UBER
41,CHRW
42,CRSP
43,VRTX
44,DDOG
45,CHD
46,O
47,NXPI
48,BSY
49,PZZA
