,0
0,AMCX
1,IONS
2,BEPC.TO
3,BEP.UN
4,MSM
5,SN.L
6,SNN
7,ODFL
8,STEM
9,STZ
10,T.TO
11,0O0U.IL
12,BMWYY
13,AES
14,GIKLY
15,GRF-P.MC
16,CP.TO
17,TSCO
18,FLR
19,MBUU
20,CFP.TO
21,PAA
22,PAGP
23,GDDY
24,COLD
25,FWONA
26,FWONK
27,CAH
28,HRI
29,EXAS
30,SRE
31,REG
32,VTR
33,USM
34,D
35,WING
36,MCHP
37,SYK
38,AIRC
39,EXEL
40,1801.HK
41,EDPU.XD
42,ALFA.ST
43,RKT
44,SOLB.BR
45,REGN
46,FFH.TO
47,SREN.SW
48,SSREY
49,0RLS.IL
