,0
0,EPAM
1,SGEN
2,WMB
3,UTHR
4,KHC
5,ABNB
6,V
7,CLX
8,RUN
9,PLTR
10,PK
11,LLY
12,HEI.DE
13,SHOP
14,FME.DE
15,FMS
16,DUK
17,2912.TW
18,BXP
19,ZTS
20,SEDG
21,0RIC.IL
22,0A2K.IL
23,PBH
24,JLL
25,IR
26,AVOL.SW
27,BOSS.DE
28,ICE
29,SBRY.L
30,FRE.DE
31,8604.T
32,NMR
33,IQV
34,BUOU.SI
35,6268.T
36,VER.VI
37,2395.TW
38,IGM.TO
39,8601.T
40,SCMN.SW
41,FSLY
42,MELE.BR
43,ROKU
44,EA
45,SBGI
46,LIVN
47,CSR
48,BMRN
49,GEBN.SW
