,0
0,VMUK.L
1,VUK.AX
2,QUB.AX
3,0N9G.IL
4,SGE.L
5,CS.PA
6,AXAHY
7,CRH
8,KGN.AX
9,0780.HK
10,BSL.AX
11,GDS
12,9698.HK
13,WEB.AX
14,DE
15,AVGO
16,AME
17,DOV
18,HUBB
19,ITT
20,JBT
21,MAN
22,RHI
23,ROP
24,DTE
25,ENEL.MI
26,NJR
27,AEE
28,HD
29,JMAT.L
30,IQ
31,KGF.L
32,KGFHY
33,9888.HK
34,BIDU
35,1024.HK
36,URBN
37,600905.SS
38,IMAX
39,VIV.PA
40,VIVEF
41,JWN
42,ADSK
43,HPQ
44,J
45,NVDA
46,AX1.AX
47,EBO.NZ
48,TW
49,MPL.AX
