,0
0,CFR
1,CFG
2,HBAN
3,EXC
4,GTII.CN
5,HUB.AX
6,9022.T
7,WN-PC.TO
8,MDT
9,BBY
10,LOW
11,KSS
12,ADI
13,SOON.SW
14,ADNT
15,BAYN.DE
16,BAYRY
17,FICO
18,WM
19,7974.T
20,TNE.AX
21,9961.HK
22,TCOM
23,600519.SS
24,1876.HK
25,ZM
26,NEM
27,NEM
28,KEYS
29,AVH.AX
30,REH.AX
31,9020.T
32,ACL.AX
33,HLS.AX
34,A
35,QCOM
36,NRG
37,LW
38,CTD.AX
39,MS
40,GS
41,0A9E.IL
42,1810.HK
43,LONN.SW
44,GOOGL
45,GOOGL
46,MELI
47,DAVA
48,GLOBD.BA
49,AHT.L
