,URL_ID,Name,Sector,Analyst,Title,StarRating,Date,ParseDate
0,0P00017BZR,Virgin Money UK PLC,Financial Services,Nathan Zaia,Senior Equity Analyst,4,24/11/2023,24/11/2023
1,0P00017BZQ,Virgin Money UK PLC Shs Chess Depository Interests Repr 1 Shs,Financial Services,Nathan Zaia,Senior Equity Analyst,4,24/11/2023,24/11/2023
2,0P0000A1HT,Qube Holdings Ltd,Industrials,Adrian Atkins,Senior Equity Analyst,4,24/11/2023,24/11/2023
3,0P0000A5S7,Endesa SA,Utilities,Tancrede Fulop,Senior Equity Analyst,4,23/11/2023,24/11/2023
4,0P00016YML,Amundi SA,Financial Services,Johann Scholtz,Analyst,4,23/11/2023,24/11/2023
5,0P00007OUD,Sage Group (The) PLC,Technology,Rob Hales,Senior Equity Analyst,2,23/11/2023,24/11/2023
6,0P00009WBE,AXA SA,Financial Services,Henry Heathfield,Equity Analyst,3,23/11/2023,24/11/2023
7,0P0000003E,AXA SA ADR,Financial Services,Henry Heathfield,Equity Analyst,3,23/11/2023,24/11/2023
8,0P0000BW9K,CRH PLC,Basic Materials,Matthew Donen,Equity Analyst,3,23/11/2023,24/11/2023
9,0P00018BJE,Kogan.com Ltd,Consumer Cyclical,Johannes Faul,Director,5,23/11/2023,24/11/2023
10,0P0001F33M,Tongcheng Travel Holdings Ltd,Consumer Cyclical,Kai Wang,Senior Equity Analyst,3,23/11/2023,24/11/2023
11,0P00006WBG,BlueScope Steel Ltd,Basic Materials,Mathew Hodge,Director,3,23/11/2023,24/11/2023
12,0P00018X5M,GDS Holdings Ltd ADR,Technology,Dan Baker,Senior Analyst,5,23/11/2023,24/11/2023
13,0P0001KYLE,GDS Holdings Ltd Class A,Technology,Dan Baker,Senior Analyst,5,23/11/2023,24/11/2023
14,0P00006X1P,Webjet Ltd,Consumer Cyclical,Brian Han,Director,3,22/11/2023,24/11/2023
15,0P000001NV,Deere & Co,Industrials,Dawit Woldemariam,Equity Analyst,3,22/11/2023,24/11/2023
