,0
0,XPO
1,XYL
2,ALLE
3,ARGX
4,0QW0.IL
5,KOF
6,0ML1.IL
7,PFE
8,STMN.SW
9,LYB
10,ETN
11,2328.HK
12,1339.HK
13,VNO
14,CWK
15,ST
16,MTA.BE
17,AMGN
18,HAYW
19,ZBRA
20,601988.SS
21,3988.HK
22,002142.SZ
23,600016.SS
24,1988.HK
25,QGEN
26,HO.PA
27,GPN
28,BSAC
29,EN.PA
30,BNP.PA
31,BNPQY
32,2914.T
33,0R30.L
34,BOY.BE
35,BBVA
36,DSFIR.AS
37,BP.L
38,BP
39,ING.AX
40,000568.SZ
41,600779.SS
42,600887.SS
43,6645.T
44,AC.TO
45,002714.SZ
46,601857.SS
47,0857.HK
48,000333.SZ
49,1772.HK
