,0
0,SEE
1,PPL.TO
2,0HXB.IL
3,TS
4,3092.T
5,TRGP
6,CMI
7,BC
8,LPLA
9,CAR.AX
10,KBR
11,SRCL
12,XRAY
13,APTV
14,CF
15,ORLY
16,PRU
17,APA
18,AWK
19,PRMW.TO
20,FOXA
21,FOXA
22,QRVO
23,MDLZ
24,TYL
25,MET
26,CQP
27,SO
28,LNG
29,HLN
30,BR
31,DT
32,PPL
33,SPGI
34,ANSS
35,HST
36,BAX
37,CRTO
38,601111.SS
39,0753.HK
40,600115.SS
41,0670.HK
42,600029.SS
43,1055.HK
44,UNIT
45,NVO
46,NOVO-B.CO
47,NTR.TO
48,SBUX
49,CI
