,0
0,300748.SZ
1,6680.HK
2,2007.HK
3,LRCX
4,2303.TW
5,BA
6,1590.TW
7,NOW
8,J69U.SI
9,META
10,0R87.IL
11,SEIC
12,AVY
13,WU
14,ZION
15,APH
16,EVR
17,HNK1.BE
18,HEINY
19,SLGN
20,ADP
21,MCO
22,M44U.SI
23,AIL.SG
24,NSC
25,PII
26,KNEBV.HE
27,HLT
28,MKTX
29,0A00.IL
30,VZ
31,HAL
32,0688.HK
33,SY1.DE
34,CME
35,DSYP.XD
36,DASTY
37,RKT.L
38,RBGLY
39,TMO
40,TEL.OL
41,TELNY
42,00973
43,BPT.AX
44,KER.PA
45,SNAP
46,RRC
47,6594.T
48,SUL.AX
49,000001.SZ
