,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,B.CO,MAERSK,B.CO,MAERSK,B.CO,MAERSK,B.CO,MAERSK,B.CO,MAERSK,B.CO,MAERSK
Date,,,,,,,,,,,,
